CustomerID,first_name,last_name,email,gender,PhoneNumber,DateOfBirth,PreferredLanguage,StreetAddress,City,State,PostalCode,Country,Loyalty Program Tier,FavoriteGenres,Marketing Opt-In Status,Membership Status,PreferredContactMethod,Region_code
01JSX07TDBR41PWX1D275SEBF2,Talbert,Astridge,tastridge0@netscape.com,Male,(928) 6306305,2/10/1961,Vietnamese,1692 Green Ridge Terrace,Prescott,Arizona,86305,USA,Bronze,Drama|Horror|Thriller,No,Basic,Phone Call,WR
01JSX07TDNMGHMDPJE7ZH49025,Obadias,Malling,omalling1@about.me,Male,(410) 2231815,1/13/1991,German,2832 Merry Plaza,Baltimore,Maryland,21239,USA,Silver,Horror,No,Premier,SMS,SR
01JSX07TDQQN0MDDPSJBTQCWWE,Bear,Crosi,bcrosi2@phoca.cz,Male,(814) 1848324,3/18/1947,Korean,9 Old Shore Court,Johnstown,Pennsylvania,15906,USA,Gold,Documentary|Musical,No,Basic,Phone Call,NER
01JSX07TDS5C4DFJYS4D9YAP9M,Roddie,Bartels-Ellis,rbartelsellis3@yahoo.co.jp,Male,(206) 3301610,12/26/1944,English,101 Hanson Circle,Kent,Washington,98042,USA,Platinum,Drama,No,Basic,Phone Call,WR
01JSX07TDVTCJKFJKC1XD25GC0,Joli,Ingleton,jingleton4@patch.com,Female,(312) 4903347,2/11/1998,Vietnamese,7210 Acker Drive,Chicago,Illinois,60609,USA,Bronze,Action|Animation|Crime|Sci-Fi|Thriller,Email,Basic,SMS,MWR
01JSX07TDY00TVRBYEA2J3FB8M,Hermon,Turnock,hturnock5@ox.ac.uk,Male,(303) 4568622,8/7/1952,French,8333 Hovde Parkway,Denver,Colorado,80217,USA,Silver,Drama|Thriller,Email,Basic,Phone Call,WR
01JSX07TDZFSAAZQS5MQMCTVX6,George,Jilliss,gjilliss6@bigcartel.com,Male,(302) 3653700,10/19/1962,German,134 Alpine Junction,Wilmington,Delaware,19892,USA,Gold,Documentary|Drama|War,No,Elite,Phone Call,SR
01JSX07TE1FQ59P37VMZTJNNR7,Katrina,Sugge,ksugge7@zdnet.com,Female,(772) 6949167,3/27/1956,Arabic,4079 Darwin Trail,Vero Beach,Florida,32964,USA,Platinum,Animation|Children,SMS,Plus,Phone Call,SR
01JSX07TE3189TJ266CN288JFM,Clarey,Langshaw,clangshaw8@china.com.cn,Female,(323) 6602783,10/12/1977,Spanish,12124 Drewry Street,Los Angeles,California,90065,USA,Bronze,Comedy,No,Basic,Email,WR
01JSX07TE53XDYN6DB3EGVNT9G,Adriena,Kleinber,akleinber9@arstechnica.com,Female,(210) 7642493,3/15/1962,French,63 Larry Court,San Antonio,Texas,78205,USA,Silver,Comedy,Email,Basic,Phone Call,SR
01JSX07TE738XFDWC21WYGA67V,Gloriana,Winchurch,gwinchurcha@berkeley.edu,Female,(405) 5540256,3/5/1999,Chinese,41431 Golf Course Lane,Oklahoma City,Oklahoma,73142,USA,Gold,Thriller,No,Basic,SMS,SR
01JSX07TE9PE3WNDJRTT10HCAN,Tadd,Thornewill,tthornewillb@cnn.com,Male,(443) 9676563,9/12/1981,French,00589 Shasta Plaza,Baltimore,Maryland,21239,USA,Platinum,Thriller,Email,Basic,Email,SR
01JSX07TEDE1ZZZPDM23318R2K,Reube,Dufer,rduferc@51.la,Male,(212) 2527470,12/25/1956,Chinese,1366 Dunning Place,New York City,New York,10184,USA,Bronze,Animation,SMS,Basic,Phone Call,NER
01JSX07TEHKQ5PWAFGT5YBWJZX,Ogden,Nicklen,onicklend@w3.org,Male,(409) 4044728,5/26/1952,English,5 Pond Way,Beaumont,Texas,77705,USA,Silver,Horror,No,Basic,Phone Call,SR
01JSX07TEKFNTCCABE2D2YREQB,Filmer,Melrose,fmelrosee@oakley.com,Male,(202) 2289424,8/10/1940,French,02 Bartillon Road,Washington,District of Columbia,20591,USA,Gold,Comedy,No,Basic,Phone Call,SR
01JSX07TENTDGXVJDH7J8KCTCF,Errol,Taylo,etaylof@nymag.com,Male,(915) 5330536,2/9/1950,Spanish,8 Parkside Alley,El Paso,Texas,88558,USA,Platinum,Comedy|Drama,SMS,Basic,Phone Call,SR
01JSX07TEPA0ZXGRXVZBJ9BFVY,Ephrayim,Rodgier,erodgierg@tinypic.com,Male,(304) 8532748,2/12/1982,Korean,059 Dakota Road,Huntington,West Virginia,25716,USA,Bronze,Crime|Drama,No,Plus,Email,SR
01JSX07TESVDKHQWQWRD5HT6N5,Rutter,Maddaford,rmaddafordh@marriott.com,Male,(862) 7202123,8/23/1972,French,2028 Grayhawk Plaza,Newark,New Jersey,7195,USA,Silver,Drama,No,Basic,Email,NER
01JSX07TETV0WXZVHY2AYR0AJW,Natala,Seger,nsegeri@linkedin.com,Female,(804) 8197676,12/29/1995,English,2590 Basil Place,Richmond,Virginia,23242,USA,Gold,Comedy|Romance,No,Premier,SMS,SR
01JSX07TEXD30CE3TK5YMX7NGH,Crissie,Hebble,chebblej@hugedomains.com,Female,(601) 4070372,1/27/1982,Spanish,0 Namekagon Street,Meridian,Mississippi,39305,USA,Platinum,Animation|Children|Comedy|Drama|Fantasy,No,Plus,Email,SR
01JSX07TEZ33282V3SHKYXF1A7,Desmund,Kembery,dkemberyk@oracle.com,Male,(917) 3285762,12/10/1975,German,0010 Glendale Center,New York City,New York,10105,USA,Bronze,Drama,SMS,Plus,Email,NER
